2023-09-30 15:20:10,525.FoodA_consumer.INFO ==================================================
2023-09-30 15:20:10,525.FoodA_consumer.INFO Today is 2023-09-30 at 03:20 PM
2023-09-30 15:20:10,526.FoodA_consumer.INFO Running on: nt Windows 10
2023-09-30 15:20:10,526.FoodA_consumer.INFO Python version:  3.9.12
2023-09-30 15:20:10,527.FoodA_consumer.INFO Python path: C:\Users\alhal\miniconda3
2023-09-30 15:20:10,527.FoodA_consumer.INFO Working dir: C:\Users\alhal\OneDrive\Documents\44-671\streaming-05-smart-smoker
2023-09-30 15:20:10,678.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,679.FoodA_consumer.INFO  [x] Received 05/22/21 14:15:40,62.1
2023-09-30 15:20:10,679.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,680.FoodA_consumer.INFO  [x] Received 05/22/21 14:15:45,No temperature
2023-09-30 15:20:10,680.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,681.FoodA_consumer.INFO  [x] Received 05/22/21 14:16:10,No temperature
2023-09-30 15:20:10,681.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,682.FoodA_consumer.INFO  [x] Received 05/22/21 14:16:15,No temperature
2023-09-30 15:20:10,682.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,683.FoodA_consumer.INFO  [x] Received 05/22/21 14:16:35,63.3
2023-09-30 15:20:10,683.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,689.FoodA_consumer.INFO  [x] Received 05/22/21 14:16:40,63.3
2023-09-30 15:20:10,689.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,690.FoodA_consumer.INFO  [x] Received 05/22/21 14:16:45,No temperature
2023-09-30 15:20:10,690.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,691.FoodA_consumer.INFO  [x] Received 05/22/21 14:17:10,No temperature
2023-09-30 15:20:10,692.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,692.FoodA_consumer.INFO  [x] Received 05/22/21 14:17:15,No temperature
2023-09-30 15:20:10,693.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,693.FoodA_consumer.INFO  [x] Received 05/22/21 14:17:35,64.5
2023-09-30 15:20:10,693.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,694.FoodA_consumer.INFO  [x] Received 05/22/21 14:17:40,64.5
2023-09-30 15:20:10,694.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,695.FoodA_consumer.INFO  [x] Received 05/22/21 14:17:45,No temperature
2023-09-30 15:20:10,695.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,696.FoodA_consumer.INFO  [x] Received 05/22/21 14:18:10,No temperature
2023-09-30 15:20:10,696.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,697.FoodA_consumer.INFO  [x] Received 05/22/21 14:18:15,No temperature
2023-09-30 15:20:10,697.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,698.FoodA_consumer.INFO  [x] Received 05/22/21 14:18:35,65.6
2023-09-30 15:20:10,698.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,699.FoodA_consumer.INFO  [x] Received 05/22/21 14:18:40,65.6
2023-09-30 15:20:10,699.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,700.FoodA_consumer.INFO  [x] Received 05/22/21 14:18:45,No temperature
2023-09-30 15:20:10,700.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,701.FoodA_consumer.INFO  [x] Received 05/22/21 14:19:10,No temperature
2023-09-30 15:20:10,701.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,706.FoodA_consumer.INFO  [x] Received 05/22/21 14:19:15,No temperature
2023-09-30 15:20:10,706.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,707.FoodA_consumer.INFO  [x] Received 05/22/21 14:19:35,66.9
2023-09-30 15:20:10,708.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,709.FoodA_consumer.INFO  [x] Received 05/22/21 14:19:40,66.9
2023-09-30 15:20:10,709.FoodA_consumer.INFO  [x] Done.
